Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ITW,ITW,ITW,ITW,ITW,ITW
Date,,,,,,
2021-09-10,194.4338836669922,218.77999877929688,221.16000366210938,218.63999938964844,220.86000061035156,649500
2021-09-13,194.94052124023438,219.35000610351562,221.0,217.3800048828125,220.4199981689453,824400
2021-09-14,192.91421508789062,217.07000732421875,220.4600067138672,216.30999755859375,219.9600067138672,890800
2021-09-15,195.6958770751953,220.1999969482422,220.5800018310547,216.25999450683594,216.7899932861328,987200
2021-09-16,193.59852600097656,217.83999633789062,220.1300048828125,217.60000610351562,219.85000610351562,851900
2021-09-17,191.86550903320312,215.88999938964844,217.05999755859375,214.55999755859375,216.4600067138672,2025500
2021-09-20,191.4922332763672,215.47000122070312,215.64999389648438,212.24000549316406,213.1300048828125,1085200
2021-09-21,189.97251892089844,213.75999450683594,215.86000061035156,213.19000244140625,215.86000061035156,1026200
2021-09-22,191.67002868652344,215.6699981689453,217.74000549316406,214.75,215.2899932861328,1023600
2021-09-23,193.63404846191406,217.8800048828125,218.77999877929688,216.5,216.5,976300
2021-09-24,191.90994262695312,215.94000244140625,218.35000610351562,215.77999877929688,217.63999938964844,689800
2021-09-27,192.4609375,216.55999755859375,218.25,215.25,215.5,882600
2021-09-28,190.0791778564453,213.8800048828125,217.1699981689453,213.6199951171875,216.0,1116100
2021-09-29,190.61544799804688,213.25999450683594,214.33999633789062,211.63999938964844,213.25999450683594,879300
2021-09-30,184.689453125,206.6300048828125,214.7899932861328,206.57000732421875,213.9499969482422,1100200
2021-10-01,184.90399169921875,206.8699951171875,208.22999572753906,204.00999450683594,207.35000610351562,1471200
2021-10-04,185.94078063964844,208.02999877929688,209.05999755859375,205.17999267578125,207.0,1683300
2021-10-05,189.96299743652344,212.52999877929688,213.91000366210938,207.0399932861328,207.5800018310547,1372100
2021-10-06,189.84674072265625,212.39999389648438,212.89999389648438,208.17999267578125,211.64999389648438,1088200
2021-10-07,192.39418029785156,215.25,216.07000732421875,213.41000366210938,214.5,795200
2021-10-08,193.42202758789062,216.39999389648438,217.38999938964844,213.2899932861328,214.75,871500
2021-10-11,191.1606903076172,213.8699951171875,217.89999389648438,213.83999633789062,216.1999969482422,771800
2021-10-12,190.9193878173828,213.60000610351562,215.63999938964844,212.75,213.8800048828125,871600
2021-10-13,191.97402954101562,214.77999877929688,216.75999450683594,213.1999969482422,214.2899932861328,969500
2021-10-14,197.91795349121094,221.42999267578125,221.77999877929688,216.10000610351562,216.10000610351562,1087100
2021-10-15,199.74134826660156,223.47000122070312,224.52000427246094,221.91000366210938,222.52000427246094,956900
2021-10-18,198.2396697998047,221.7899932861328,223.67999267578125,220.8300018310547,221.89999389648438,711700
2021-10-19,199.5357666015625,223.24000549316406,224.1199951171875,222.25999450683594,223.1699981689453,542400
2021-10-20,199.92013549804688,223.6699981689453,224.9199981689453,223.13999938964844,223.47999572753906,663400
2021-10-21,200.6887664794922,224.52999877929688,224.57000732421875,221.1199951171875,223.49000549316406,521700
2021-10-22,200.72457885742188,224.57000732421875,226.5500030517578,224.42999267578125,225.52999877929688,520400
2021-10-25,201.56472778320312,225.50999450683594,226.33999633789062,222.94000244140625,224.0800018310547,605800
2021-10-26,200.01841735839844,223.77999877929688,226.66000366210938,223.55999755859375,225.8699951171875,913600
2021-10-27,198.60618591308594,222.1999969482422,224.35000610351562,222.07000732421875,223.85000610351562,759800
2021-10-28,202.4853515625,226.5399932861328,227.13999938964844,218.7100067138672,221.5,1122100
2021-10-29,203.6741180419922,227.8699951171875,229.10000610351562,225.5399932861328,225.85000610351562,1480000
2021-11-01,204.5411376953125,228.83999633789062,230.00999450683594,225.4199981689453,228.2100067138672,1122300
2021-11-02,205.72988891601562,230.1699981689453,230.6199951171875,227.24000549316406,229.5,961800
2021-11-03,204.9344024658203,229.27999877929688,229.9199981689453,225.92999267578125,229.75,882900
2021-11-04,207.9197998046875,232.6199951171875,234.0,229.8800048828125,229.8800048828125,1183000
2021-11-05,209.21578979492188,234.07000732421875,235.5399932861328,233.30999755859375,234.61000061035156,841100
2021-11-08,208.66160583496094,233.4499969482422,236.38999938964844,232.47000122070312,235.63999938964844,683900
2021-11-09,209.88613891601562,234.82000732421875,235.6199951171875,231.77999877929688,232.88999938964844,679200
2021-11-10,209.78781127929688,234.7100067138672,236.42999267578125,234.3800048828125,234.3800048828125,645200
2021-11-11,208.92080688476562,233.74000549316406,234.36000061035156,232.44000244140625,234.14999389648438,523000
2021-11-12,213.25584411621094,238.58999633789062,238.75,233.38999938964844,234.8699951171875,1078500
2021-11-15,213.6401824951172,239.02000427246094,241.61000061035156,238.17999267578125,238.99000549316406,756500
2021-11-16,216.3663330078125,242.07000732421875,243.05999755859375,239.86000061035156,240.0500030517578,872600
2021-11-17,216.8758087158203,242.63999938964844,243.27000427246094,240.19000244140625,242.0,957800
2021-11-18,215.38314819335938,240.97000122070312,243.74000549316406,240.13999938964844,242.50999450683594,852400
2021-11-19,216.25013732910156,241.94000244140625,243.0800018310547,240.60000610351562,241.92999267578125,1047800
2021-11-22,216.40208435058594,242.11000061035156,244.3000030517578,241.10000610351562,242.4199981689453,801300
2021-11-23,218.13609313964844,244.0500030517578,244.4499969482422,241.83999633789062,242.9199981689453,802700
