Price,Adj Close,Close,High,Low,Open,Volume
Ticker,CCI,CCI,CCI,CCI,CCI,CCI
Date,,,,,,
2021-09-10,148.110595703125,188.36000061035156,191.39999389648438,187.58999633789062,190.85000610351562,2294500
2021-09-13,149.2665557861328,189.8300018310547,191.0800018310547,188.5800018310547,189.75,1812500
2021-09-14,149.86041259765625,189.25,190.82000732421875,188.5500030517578,189.8699951171875,1608200
2021-09-15,149.38528442382812,188.64999389648438,190.52000427246094,188.47999572753906,189.92999267578125,1845400
2021-09-16,149.836669921875,189.22000122070312,189.86000061035156,186.6999969482422,188.33999633789062,1375700
2021-09-17,149.29820251464844,188.5399932861328,189.83999633789062,187.60000610351562,188.07000732421875,2503100
2021-09-20,148.2371063232422,187.1999969482422,189.4499969482422,185.25999450683594,187.47999572753906,1174100
2021-09-21,148.69638061523438,187.77999877929688,189.52000427246094,187.22000122070312,187.97000122070312,1053400
2021-09-22,148.44297790527344,187.4600067138672,188.8699951171875,187.14999389648438,188.1999969482422,978700
2021-09-23,145.9882049560547,184.36000061035156,187.9199981689453,183.30999755859375,187.4499969482422,1651800
2021-09-24,144.17483520507812,182.07000732421875,184.86000061035156,180.49000549316406,184.0,1622200
2021-09-27,140.35804748535156,177.25,182.0,176.94000244140625,180.8699951171875,2153600
2021-09-28,138.62384033203125,175.05999755859375,176.7899932861328,173.49000549316406,174.8699951171875,2823500
2021-09-29,139.1860809326172,175.77000427246094,176.97000122070312,174.6999969482422,175.7899932861328,1377800
2021-09-30,137.24603271484375,173.32000732421875,176.72000122070312,173.13999938964844,176.38999938964844,1701300
2021-10-01,137.00845336914062,173.02000427246094,174.5800018310547,172.3300018310547,173.8300018310547,1457400
2021-10-04,137.51524353027344,173.66000366210938,174.5800018310547,171.77999877929688,172.35000610351562,1462500
2021-10-05,136.5570831298828,172.4499969482422,174.08999633789062,171.14999389648438,173.8000030517578,1514400
2021-10-06,138.05372619628906,174.33999633789062,174.5500030517578,170.27000427246094,171.6999969482422,1250400
2021-10-07,136.8738250732422,172.85000610351562,176.77000427246094,172.58999633789062,175.00999450683594,947200
